gender,height,weight,age
female,166.83555814565312,64.23872212388754,38
female,166.32193422591405,67.16548882602196,65
male,193.4247817455343,89.34263649922072,67
female,167.02790419879926,67.637665519141,55
male,191.82225287139855,93.98511704551565,29
female,159.083713977938,74.11356846577492,40
female,167.05684903411972,82.32441907078089,62
female,170.16809413274973,70.00427328994257,37
female,173.54180613779505,80.51548268263494,45
female,168.9071586392831,67.97474259719922,18
male,185.91480471557796,81.2261348253779,28
female,173.4635263261689,72.7287354135196,41
female,167.99173382485802,85.9148593649008,63
female,170.0010616397075,73.56845555340693,23
male,189.56146244514724,83.23865802289221,53
male,192.52114928762037,92.33950478364238,23
female,162.28458109240822,55.91545294424993,23
female,165.09726282998272,75.2779347443048,61
male,192.9511062743012,100.39197200174908,62
male,189.93108633944732,77.21691446993496,48
female,172.11380824945394,66.73630624744557,63
female,162.18037556632066,72.5674598813035,50
male,190.13403444191027,83.95641550561913,59
female,160.55697343607957,60.66844365241293,67
male,191.86988655708038,75.89675658071717,29
female,170.01303754052392,64.35062275444871,46
female,163.4862509444957,58.561038079876674,41
male,178.754875758197,85.82772903785425,47
male,189.90313577734034,82.35644166796533,49
male,200.43508295794967,82.11424882845898,26
male,186.62763820234568,87.69052693015708,30
male,191.36389638189095,81.64833026773616,55
male,182.33136427808105,85.64407522431942,64
female,154.18212071510243,74.4664679690116,57
female,163.35914803183113,72.17187172331116,57
female,168.81546850602606,85.07106259537646,22
female,167.01777736996385,67.77450895453322,44
male,185.08562834285854,71.08041619048268,34
female,164.36949273443116,54.990699033756044,47
female,163.17711121258742,83.97085483291495,66
male,179.04638060046562,48.98914895540482,50
male,188.95721483162893,71.47134111035962,60
male,191.56739893845264,82.01179910970797,68
male,191.5711627299198,93.20232398305984,38
female,171.21902710538106,76.0125880443914,29
female,170.65375937282,57.88881787662007,60
male,179.51919648374948,92.73557706206813,35
male,188.8301480034951,86.35190340987386,54
female,164.4708574483959,70.76312477794013,31
female,154.1135102817043,68.71304994134562,19
male,195.11671283463352,86.9298964177293,42
female,160.49641882642345,70.17474104345783,61
female,158.24955866855257,73.31948728139191,36
male,189.19343037213463,73.02042037659338,31
female,158.8076561196757,76.82005832934428,55
female,164.9966990549991,59.48263857080688,44
female,170.9851906191814,78.22122501888022,51
female,167.23009928571864,67.04346870501685,63
male,185.9396273104097,75.90310211591665,65
male,179.47843788768128,96.21499211849928,37
female,161.96708318289024,60.40311139811569,39
female,165.95528823655155,79.32730097397041,57
male,195.7424080882872,84.69736942403014,59
female,162.63721886303105,61.62134558603782,34
female,172.16250184890202,65.58333322069315,59
female,162.46281463699864,67.90237966828647,49
female,161.44707545186665,78.83235148838838,60
male,198.31170236095326,96.06231558859969,43
female,165.9981555361679,78.2466546526254,23
male,180.39828411938674,74.19592670721498,50
male,193.3112679751215,90.09513563929686,66
male,188.97059832948503,80.02038153182158,37
female,166.20955376868434,68.7510174844243,45
female,158.7455863839235,57.59090759319404,60
female,167.43689971255756,64.53337744386266,26
female,162.01911618379796,75.58166491709747,37
female,157.52099056138167,66.17719131324175,58
female,161.28925483888972,61.508602268847596,27
male,183.198402858211,71.84558692950154,22
female,168.03929661001123,73.91726750871655,51
male,181.06275996925783,86.3949779614746,65
male,190.10905333307028,82.79886268745172,40
female,169.30071824438667,66.8092470073803,63
male,194.95849513109548,69.19396059190831,33
male,184.28647928820624,101.3012996487441,66
male,182.01294043173084,76.48819517552515,69
female,174.99651025792986,75.48305151327328,66
male,182.21893825340516,80.64922758423684,65
female,170.87654846357154,74.72621558230317,47
male,188.56060502449728,103.01528407832186,28
male,188.88446437497865,82.60726852848148,57
female,167.90791322260282,68.23731179251426,25
male,206.23530677987185,94.10215783664745,28
male,198.4462570840474,104.53059695539896,44
female,160.0409370241941,81.49788747326885,37
female,154.54034099202934,77.29992741237376,35
female,161.91919281232958,62.37405182637446,51
female,162.55514647573258,59.4997199141981,69
male,200.85350344969854,65.95325306534536,31
male,200.2657860149502,96.78843444025644,24
male,200.0808205081463,86.25901388394959,48
female,155.0249981761965,67.46645333020581,29
male,197.37790039828013,92.24829373485832,18
female,167.28101299569596,52.755113109932786,52
male,189.45945268343868,94.43715505756045,36
female,163.90554369922728,79.35478982972931,65
male,200.13949460925048,104.723444790822,52
male,196.30373154132116,95.74529790229931,50
female,150.4205312695444,78.86224469517582,32
female,165.55275967401542,63.57203493123534,65
female,171.72710873802183,74.93647934696864,54
female,165.33580251658913,77.98044713508159,43
male,190.65360661993657,81.4791225254612,42
male,181.96616027129033,75.58596830997975,52
female,165.6965320098706,68.46975795437511,53
male,195.94721467914718,75.81787833490209,64
female,168.59568868484007,78.24262708673075,57
female,162.50148894657306,81.15680536396295,57
female,167.84352854710073,61.57930661055637,36
male,169.6002080712814,70.93280567440442,35
female,163.69543232534278,59.23418017912581,53
female,162.49930926949307,71.70373872155699,64
female,162.0129880249317,56.09501923059156,61
female,168.69869818483423,67.6221929939964,39
male,194.6343628433093,82.98580099923026,44
male,200.38881219975175,87.81230492218604,43
female,172.61476778087527,72.358114335803,66
male,179.1035957853327,81.56794073156962,52
female,163.78962361223174,90.33412279896703,61
male,183.72350440879353,79.41200427937659,32
male,195.20934380049957,82.95870231127284,47
female,157.95054479286821,56.75374322043359,63
male,193.05182772650033,98.52362545926151,34
male,186.9426503393325,69.86169498755146,68
female,166.66206721796414,62.18337651772123,59
female,171.2432066716413,65.4081616524539,41
female,154.5732388505574,76.72061709424769,40
female,164.4222865107885,68.71759986762117,38
female,154.00908235242272,58.850161417092615,51
female,164.52304546578247,82.59105615517073,30
male,185.0669009507238,79.79369393437702,50
female,161.48255242638186,77.83856053735896,61
female,160.77712536482494,68.24939818921938,60
male,193.04151852263914,98.00625401055959,38
female,163.9708592815283,68.41612504474674,35
male,190.24896251823097,87.68775789148641,32
female,165.55500970568215,55.829345295540904,37
male,189.205635478825,73.43444782932664,68
male,189.32300821690725,74.63856428024803,31
female,165.35273292413598,64.42839466177573,33
female,173.93943649170035,79.95810017069205,49
male,183.5866565916313,80.41974816985443,19
female,163.96848102265753,75.00529922668828,64
male,177.36582529534837,78.88366263305441,52
female,162.37655525595278,65.0017433317395,69
male,192.3880638237165,75.04826040100762,46
male,187.41331149816648,87.93949387943162,26
male,190.66740939608917,77.9871042920845,48
male,191.75344995242114,107.75825427647638,53
male,184.47463045996227,86.35428834719957,21
female,162.72448106441556,77.15992639303566,50
male,191.10582018576017,92.95863812341227,25
female,166.52931839401862,78.69744632859995,42
male,188.23922779768853,95.47276408559463,38
male,192.93672710734918,75.89513296468479,55
male,195.5544210438655,104.33359747714357,31
female,163.720209402319,72.35870304651014,19
male,186.55668286745657,87.54731137380209,24
female,164.97559011960792,69.6604907439624,45
female,162.27029128441515,60.43510400068792,35
male,185.75999553897663,83.73481103046049,21
male,181.64454217770464,85.3214314696456,19
female,167.38957718000094,77.82361425813059,61
female,164.05570769472598,62.347909503069594,30
male,203.94087311543313,74.42163381389766,54
male,191.80285273505936,74.26311341082247,32
male,185.04631374066852,77.61302501670437,23
male,185.92068939671893,75.60844430229318,68
female,171.52950889755027,85.4895775747346,55
male,177.39259586093084,95.68792321394292,36
female,169.88513684671193,67.25273245271356,25
male,201.71416463208976,77.2780761219562,33
female,167.63458920267016,69.33688646542124,30
male,194.80447488510174,70.73350789189652,25
female,164.42034771234074,64.8621320476635,39
male,175.6474977990106,83.84811671223521,30
male,190.41452903810142,76.94200345115796,51
male,194.84905928581802,81.37500997117931,68
female,165.35557897374062,67.72463017201453,42
male,191.4620451650333,106.85094895036113,55
male,180.94708929490184,76.561461225751,24
male,188.12651236370846,88.46312710224886,23
female,167.12683151418747,73.87376927215226,43
male,194.95676073682014,94.1987151595443,25
female,167.80529143483852,72.12061755921414,54
female,152.95863588693183,73.64225106700765,47
male,186.86874673038875,88.73533683411769,43
female,163.16790347057275,64.01172491997846,30
female,169.30179286338833,72.23589908263254,28
male,188.49555278797885,91.66627883456891,19
female,170.84505401395083,82.93155537625104,59
male,189.57717389562166,91.58631952790509,46
male,189.4703407697192,81.54092719333173,21
male,192.01130233082105,80.14321255424953,59
female,173.79560211560855,62.026165513180416,22
male,201.15230638647577,102.15907631132694,61
male,186.4791766061406,67.19374327092511,38
male,194.43562717341842,83.92621381589954,62
female,175.01255760565158,68.99924172540396,22
female,171.2373561108279,85.15876036442154,30
male,194.2623374937824,76.07226692723849,57
female,166.27000037368492,82.04961057845817,60
male,199.811190150625,74.4119985175218,36
male,190.6499143079878,76.49115910961102,19
female,162.8930472726964,66.80891246126538,69
female,168.51023973262872,75.83446116682876,61
female,176.12943511127799,91.69988757356248,20
male,178.18858957022502,87.5699744558583,46
male,195.48801945517525,87.69306189562339,54
male,184.564506016549,86.57145783702535,59
female,163.28147643010465,71.04694019996228,32
male,200.523938799003,94.4438522283539,56
